m.z	compund	adduct	benchmark.m.z	ppm.difference	database	database_ID
165.0874	L-Glutamate;L-Glutamic acid;L-Glutaminic acid;Glutamate	M+NH4	165.087023	2.28364406337683	KEGG	C00025
203.0526	D-Glucose;Grape sugar;Dextrose;Glucose;D-Glucopyranose	M+Na	203.052618	0.0886469731849312	KEGG	C00031
219.0271	D-Glucose;Grape sugar;Dextrose;Glucose;D-Glucopyranose	M+K	219.026558	2.47458575318443	KEGG	C00031
147.1122	L-Lysine;Lysine acid;26-Diaminohexanoic acid	M+H	147.112776	3.91536354391985	KEGG	C00047
213.0752	L-Arginine;(S)-2-Amino-5-guanidinovaleric acid;L-Arg	M+K	213.074858	1.60506970742266	KEGG	C00062
166.0859	L-Phenylalanine;(S)-alpha-Amino-beta-phenylpropionic acid	M+H	166.086276	2.2638836214776	KEGG	C00079
203.0526	D-Fructose;Levulose;Fruit sugar;D-arabino-Hexulose	M+Na	203.052618	0.0886469731849312	KEGG	C00095
219.0271	D-Fructose;Levulose;Fruit sugar;D-arabino-Hexulose	M+K	219.026558	2.47458575318443	KEGG	C00095
132.1021	L-Leucine;2-Amino-4-methylvaleric acid;(2S)-alpha-2-Amino-4-methylvaleric acid;(2S)-alpha-Leucine	M+H	132.101876	1.69566100638032	KEGG	C00123
203.0526	D-Galactose;D-Galactopyranose	M+Na	203.052618	0.0886469731849312	KEGG	C00124
219.0271	D-Galactose;D-Galactopyranose	M+K	219.026558	2.47458575318443	KEGG	C00124
203.0526	myo-Inositol;D-myo-Inositol;1D-myo-Inositol;L-myo-Inositol;1L-myo-Inositol;meso-Inositol;Inositol;Dambose;Cyclohexitol;Meat sugar;Bios I	M+Na	203.052618	0.0886469731849312	KEGG	C00137
219.0271	myo-Inositol;D-myo-Inositol;1D-myo-Inositol;L-myo-Inositol;1L-myo-Inositol;meso-Inositol;Inositol;Dambose;Cyclohexitol;Meat sugar;Bios I	M+K	219.026558	2.47458575318443	KEGG	C00137
116.0702	L-Proline;2-Pyrrolidinecarboxylic acid	M+H	116.070576	3.23940840961122	KEGG	C00148
138.0527	L-Proline;2-Pyrrolidinecarboxylic acid	M+Na	138.052518	1.31833886575862	KEGG	C00148
203.0526	D-Mannose;Mannose;Seminose;Carubinose	M+Na	203.052618	0.0886469731849312	KEGG	C00159
219.0271	D-Mannose;Mannose;Seminose;Carubinose	M+K	219.026558	2.47458575318443	KEGG	C00159
118.0862	L-Valine;2-Amino-3-methylbutyric acid	M+H	118.086276	0.643597228799556	KEGG	C00183
140.0676	L-Valine;2-Amino-3-methylbutyric acid	M+Na	140.068218	4.41213580658886	KEGG	C00183
156.042	L-Valine;2-Amino-3-methylbutyric acid	M+K	156.042158	1.01254687851082	KEGG	C00183
268.1041	Adenosine	M+H	268.104076	0.0895174752816859	KEGG	C00212
243.0981	Thymidine;Deoxythymidine	M+H	243.097576	2.15551306025538	KEGG	C00214
165.0874	D-Glutamate;D-Glutamic acid;D-Glutaminic acid;D-2-Aminoglutaric acid	M+NH4	165.087023	2.28364406337683	KEGG	C00217
203.0526	beta-D-Glucose	M+Na	203.052618	0.0886469731849312	KEGG	C00221
219.0271	beta-D-Glucose	M+K	219.026558	2.47458575318443	KEGG	C00221
148.0034	Taurine;2-Aminoethanesulfonic acid;Aminoethylsulfonic acid	M+Na	148.003918	3.49990734704452	KEGG	C00245
203.0526	L-Sorbose;L-xylo-Hexulose	M+Na	203.052618	0.0886469731849312	KEGG	C00247
219.0271	L-Sorbose;L-xylo-Hexulose	M+K	219.026558	2.47458575318443	KEGG	C00247
137.0458	Hypoxanthine;Purine-6-ol	M+H	137.045776	0.175123967517765	KEGG	C00262
159.0272	Hypoxanthine;Purine-6-ol	M+Na	159.027718	3.25729380081763	KEGG	C00262
175.0016	Hypoxanthine;Purine-6-ol	M+K	175.001658	0.331425431384614	KEGG	C00262
203.0526	alpha-D-Glucose	M+Na	203.052618	0.0886469731849312	KEGG	C00267
219.0271	alpha-D-Glucose	M+K	219.026558	2.47458575318443	KEGG	C00267
259.1521	Tetrahydrobiopterin;5678-Tetrahydrobiopterin;2-Amino-6-(12-dihydroxypropyl)-5678-tetrahydoro-4(1H)-pteridinone;L-erythro-Tetrahydrobiopterin	M+NH4	259.151323	2.9982482475221	KEGG	C00272
94.0649	Aniline;Phenylamine;Benzenamine;Arylamine	M+H	94.065076	1.87104510509714	KEGG	C00292
291.0704	Inosine	M+Na	291.070018	1.31239899810595	KEGG	C00294
132.077	Creatine;alpha-Methylguanidino acetic acid;Methylglycocyamine	M+H	132.076776	1.69598325146041	KEGG	C00300
154.0589	Creatine;alpha-Methylguanidino acetic acid;Methylglycocyamine	M+Na	154.058718	1.1813677431435	KEGG	C00300
165.0874	Glutamate;Glutaminic acid;2-Aminoglutaric acid	M+NH4	165.087023	2.28364406337683	KEGG	C00302
146.1649	Spermidine;N-(3-Aminopropyl)-14-butane-diamine	M+H	146.165176	1.88827467367268	KEGG	C00315
184.0938	L-Carnitine;L-gamma-Trimethyl-beta-hydroxybutyrobetaine;Vitamin BT;3-Carboxy-2-hydroxy-NNN-trimethyl-1-propanaminium hydroxide inner salt;Levocarnitine;(R)-Carnitine	M+Na	184.094418	3.35697305065977	KEGG	C00318
200.0676	L-Carnitine;L-gamma-Trimethyl-beta-hydroxybutyrobetaine;Vitamin BT;3-Carboxy-2-hydroxy-NNN-trimethyl-1-propanaminium hydroxide inner salt;Levocarnitine;(R)-Carnitine	M+K	200.068358	3.78870505845051	KEGG	C00318
268.1041	Deoxyguanosine;2-Deoxyguanosine	M+H	268.104076	0.0895174752816859	KEGG	C00330
